games,size,ratio,start_color,winner,win_count,budget_winner,algo_winner,loss_count,budget_loser,algo_loser
250,8,1:1,BLUE,BLUE,135,10,mcts,115,10,mcts
250,8,1:1,BLUE,BLUE,135,50,mcts,115,50,mcts
250,8,1:1,BLUE,RED,126,100,mcts,124,100,mcts
250,8,1:1,BLUE,BLUE,137,500,mcts,113,500,mcts
250,8,1:1,BLUE,RED,131,1000,mcts,119,1000,mcts
250,8,1:1,BLUE,BLUE,130,2000,mcts,120,2000,mcts
250,8,1:2,BLUE,RED,187,20,mcts,63,10,mcts
250,8,1:2,BLUE,RED,201,100,mcts,49,50,mcts
250,8,1:2,BLUE,RED,213,200,mcts,37,100,mcts
250,8,1:2,BLUE,RED,180,1000,mcts,70,500,mcts
250,8,1:2,BLUE,RED,198,2000,mcts,52,1000,mcts
250,8,1:2,BLUE,RED,173,4000,mcts,77,2000,mcts
250,8,1:5,BLUE,RED,228,50,mcts,22,10,mcts
250,8,1:5,BLUE,RED,246,250,mcts,4,50,mcts
250,8,1:5,BLUE,RED,247,500,mcts,3,100,mcts
250,8,1:5,BLUE,RED,242,2500,mcts,8,500,mcts
250,8,1:5,BLUE,RED,237,5000,mcts,13,1000,mcts
250,8,1:5,BLUE,RED,208,10000,mcts,42,2000,mcts
250,8,2:1,BLUE,BLUE,190,20,mcts,60,10,mcts
250,8,2:1,BLUE,BLUE,226,100,mcts,24,50,mcts
250,8,2:1,BLUE,BLUE,224,200,mcts,26,100,mcts
250,8,2:1,BLUE,BLUE,213,1000,mcts,37,500,mcts
250,8,2:1,BLUE,BLUE,203,2000,mcts,47,1000,mcts
250,8,2:1,BLUE,BLUE,196,4000,mcts,54,2000,mcts
250,8,5:1,BLUE,BLUE,232,50,mcts,18,10,mcts
250,8,5:1,BLUE,BLUE,248,250,mcts,2,50,mcts
250,8,5:1,BLUE,BLUE,247,500,mcts,3,100,mcts
250,8,5:1,BLUE,BLUE,245,2500,mcts,5,500,mcts
250,8,5:1,BLUE,BLUE,244,5000,mcts,6,1000,mcts
250,8,5:1,BLUE,BLUE,221,10000,mcts,29,2000,mcts
