games,size,ratio,start_color,winner,win_count,budget_winner,algo_winner,loss_count,budget_loser,algo_loser
100,14,1:1,BLUE,RED,100,500,rave,0,500,mcts
100,14,1:1,BLUE,RED,100,1000,rave,0,1000,mcts
100,14,1:1,BLUE,RED,100,1500,rave,0,1500,mcts
100,14,1:1,BLUE,RED,100,2500,rave,0,2500,mcts
100,14,1:1,BLUE,RED,100,3000,rave,0,3000,mcts
100,14,1:1,BLUE,RED,100,3500,rave,0,3500,mcts
100,14,1:2,BLUE,RED,100,1000,rave,0,500,mcts
100,14,1:2,BLUE,RED,100,2000,rave,0,1000,mcts
100,14,1:2,BLUE,RED,100,3000,rave,0,1500,mcts
100,14,1:2,BLUE,RED,100,5000,rave,0,2500,mcts
100,14,1:2,BLUE,RED,100,6000,rave,0,3000,mcts
100,14,1:2,BLUE,RED,100,7000,rave,0,3500,mcts
100,14,2:1,BLUE,RED,98,500,rave,2,1000,mcts
100,14,2:1,BLUE,RED,100,1000,rave,0,2000,mcts
100,14,2:1,BLUE,RED,100,1500,rave,0,3000,mcts
100,14,2:1,BLUE,RED,100,2500,rave,0,5000,mcts
100,14,2:1,BLUE,RED,100,3000,rave,0,6000,mcts
100,14,2:1,BLUE,RED,100,3500,rave,0,7000,mcts
