games,size,ratio,start_color,winner,win_count,budget_winner,algo_winner,loss_count,budget_loser,algo_loser
250,5,1:1,BLUE,BLUE,168,10,rave,82,10,rave
250,5,1:1,BLUE,BLUE,151,50,rave,99,50,rave
250,5,1:1,BLUE,BLUE,147,100,rave,103,100,rave
250,5,1:1,BLUE,BLUE,203,500,rave,47,500,rave
250,5,1:1,BLUE,BLUE,204,1000,rave,46,1000,rave
250,5,1:1,BLUE,BLUE,210,2000,rave,40,2000,rave
250,5,1:2,BLUE,RED,191,20,rave,59,10,rave
250,5,1:2,BLUE,RED,198,100,rave,52,50,rave
250,5,1:2,BLUE,RED,141,200,rave,109,100,rave
250,5,1:2,BLUE,BLUE,195,500,rave,55,1000,rave
250,5,1:2,BLUE,BLUE,198,1000,rave,52,2000,rave
250,5,1:2,BLUE,BLUE,207,2000,rave,43,4000,rave
250,5,1:5,BLUE,RED,245,50,rave,5,10,rave
250,5,1:5,BLUE,RED,229,250,rave,21,50,rave
250,5,1:5,BLUE,RED,158,500,rave,92,100,rave
250,5,1:5,BLUE,BLUE,201,500,rave,49,2500,rave
250,5,1:5,BLUE,BLUE,201,1000,rave,49,5000,rave
250,5,1:5,BLUE,BLUE,202,2000,rave,48,10000,rave
250,5,2:1,BLUE,BLUE,216,20,rave,34,10,rave
250,5,2:1,BLUE,BLUE,233,100,rave,17,50,rave
250,5,2:1,BLUE,BLUE,205,200,rave,45,100,rave
250,5,2:1,BLUE,BLUE,185,1000,rave,65,500,rave
250,5,2:1,BLUE,BLUE,208,2000,rave,42,1000,rave
250,5,2:1,BLUE,BLUE,211,4000,rave,39,2000,rave
250,5,5:1,BLUE,BLUE,250,50,rave,0,10,rave
250,5,5:1,BLUE,BLUE,247,250,rave,3,50,rave
250,5,5:1,BLUE,BLUE,235,500,rave,15,100,rave
250,5,5:1,BLUE,BLUE,217,2500,rave,33,500,rave
250,5,5:1,BLUE,BLUE,216,5000,rave,34,1000,rave
250,5,5:1,BLUE,BLUE,223,10000,rave,27,2000,rave
