games,size,ratio,start_color,winner,win_count,budget_winner,algo_winner,loss_count,budget_loser,algo_loser
250,5,1:1,BLUE,BLUE,167,10,rave,83,10,mcts
250,5,1:1,BLUE,BLUE,225,50,rave,25,50,mcts
250,5,1:1,BLUE,BLUE,233,100,rave,17,100,mcts
250,5,1:1,BLUE,BLUE,235,500,rave,15,500,mcts
250,5,1:1,BLUE,BLUE,223,1000,rave,27,1000,mcts
250,5,1:1,BLUE,BLUE,214,2000,rave,36,2000,mcts
250,5,1:2,BLUE,RED,157,20,mcts,93,10,rave
250,5,1:2,BLUE,BLUE,179,50,rave,71,100,mcts
250,5,1:2,BLUE,BLUE,208,100,rave,42,200,mcts
250,5,1:2,BLUE,BLUE,206,500,rave,44,1000,mcts
250,5,1:2,BLUE,BLUE,215,1000,rave,35,2000,mcts
250,5,1:2,BLUE,BLUE,210,2000,rave,40,4000,mcts
250,5,1:5,BLUE,RED,222,50,mcts,28,10,rave
250,5,1:5,BLUE,RED,157,250,mcts,93,50,rave
250,5,1:5,BLUE,BLUE,159,100,rave,91,500,mcts
250,5,1:5,BLUE,BLUE,202,500,rave,48,2500,mcts
250,5,1:5,BLUE,BLUE,192,1000,rave,58,5000,mcts
250,5,1:5,BLUE,BLUE,198,2000,rave,52,10000,mcts
250,5,2:1,BLUE,BLUE,228,20,rave,22,10,mcts
250,5,2:1,BLUE,BLUE,246,100,rave,4,50,mcts
250,5,2:1,BLUE,BLUE,245,200,rave,5,100,mcts
250,5,2:1,BLUE,BLUE,230,1000,rave,20,500,mcts
250,5,2:1,BLUE,BLUE,223,2000,rave,27,1000,mcts
250,5,2:1,BLUE,BLUE,221,4000,rave,29,2000,mcts
250,5,5:1,BLUE,BLUE,250,50,rave,0,10,mcts
250,5,5:1,BLUE,BLUE,249,250,rave,1,50,mcts
250,5,5:1,BLUE,BLUE,247,500,rave,3,100,mcts
250,5,5:1,BLUE,BLUE,230,2500,rave,20,500,mcts
250,5,5:1,BLUE,BLUE,221,5000,rave,29,1000,mcts
250,5,5:1,BLUE,BLUE,229,10000,rave,21,2000,mcts
